Path,Permission
/sitecore/system,au|sitecore\ServicesAPI|p*|-item:read|
/sitecore/system,au|sitecore\ServicesAPI|p*|-item:read|
/sitecore/system/Aliases,ar|sitecore\Analytics Maintaining|pd|+item:delete|+item:create|+item:rename|+item:read|+item:write|pe|+item:create|+item:read|+item:write|
/sitecore/system/Dictionary/Feature,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|-item:delete|+item:read|-item:rename|+item:create|-item:write|
/sitecore/system/Dictionary/Feature/Content Export Import,ar|sitecore\Everyone|pe|+item:read|
/sitecore/system/Languages,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|+item:read|-item:rename|+item:create|-item:write|ar|sitecore\Everyone|pd|+language:write|+language:read|pe|+language:write|+language:read|
/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/PowerShell Background Session Manager,ar|sitecore\Developer|pe|+item:read|pd|+item:read|ar|sitecore\Sitecore Client Users|pe|-item:read|pd|-item:read|
/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/Rebuild script integration points,ar|sitecore\Developer|pe|+item:read|pd|+item:read|ar|sitecore\Sitecore Client Users|pe|-item:read|pd|-item:read|
/sitecore/system/Modules/PowerShell/Settings/Console,ar|sitecore\Developer|pd|+item:rename|+item:create|+item:write|+item:read|+item:delete|
/sitecore/system/Modules/PowerShell/Settings/Context,ar|sitecore\Sitecore Client Users|pd|+item:rename|+item:create|+item:write|+item:read|+item:delete|
/sitecore/system/Modules/PowerShell/Settings/Default,ar|sitecore\Sitecore Client Users|pd|+item:rename|+item:create|+item:write|+item:read|+item:delete|
/sitecore/system/Modules/PowerShell/Settings/ISE,ar|sitecore\Developer|pd|+item:rename|+item:create|+item:write|+item:read|+item:delete|
/sitecore/system/Modules/PowerShell/Settings/RemoteAutomation,ar|sitecore\Developer|pd|+item:rename|+item:create|+item:write|+item:read|+item:delete|
