Path,Permission
/sitecore/templates,ar|sitecore\Sitecore Client Maintaining|pe|+item:create|pd|+item:create|au|sitecore\ServicesAPI|p*|-item:read|ar|sitecore\Designer|pd|+item:read|+item:delete|+item:write|+item:create|+item:rename|
/sitecore/templates,ar|sitecore\Sitecore Client Maintaining|pe|+item:create|pd|+item:create|au|sitecore\ServicesAPI|p*|-item:read|ar|sitecore\Designer|pd|+item:read|+item:delete|+item:write|+item:create|+item:rename|
/sitecore/templates/Branches,ar|sitecore\Sitecore General Editor|pd|+item:read|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|ar|sitecore\Sitecore Client Maintaining|pe|+item:delete|+item:create|
/sitecore/templates/Branches/Foundation,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/Feature,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/Project,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Branch,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Globalization,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Layouts,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Media,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Rules,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/System/Templates,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Branches/User Defined,ar|sitecore\Sitecore General Editor|pd|+item:delete|+item:write|+item:read|+item:rename|+item:create|pe|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Common/Folder,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|ar|sitecore\Sitecore General Reviewer|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/Modules,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Alias,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Archiving,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Branches,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Browsers,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Child Sorting,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Content Tagging,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Dictionary,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
/sitecore/templates/System/Feeds,ar|sitecore\Sitecore Common Editor|pd|-item:create|-item:delete|+item:read|-item:rename|-item:write|pe|-item:create|-item:delete|+item:read|-item:rename|-item:write|
